text,intent
Which companies are coming next week?,placements
Placement drive ka schedule kya hai?,placements
Mock interview classes kab se hain?,placements
Aptitude training kab shuru hogi?,placements
Soft skills training provide karte hain?,placements
Internship opportunities available hain?,placements
Can I apply for off-campus placements?,placements
Placement policy guidelines kya hain?,placements
Companies visiting for mechanical branch?,placements
MBA placement reports check karni hain?,placements
Package details for TCS and Infosys?,placements
Eligibility for Google placement drive?,placements
How many students got placed last year?,placements
Branch wise placement statistics chahiye?,placements
Placement cell contact number?,placements
Do companies allow students with backlogs?,placements
What is the selection process for Amazon?,placements
Resume building workshop kab hogi?,placements
Job description kahan check kare?,placements
Placement ke liye formal dress compulsory hai?,placements
Pre-placement talk kab hai?,placements
Technical test rounds ke bare mein batao?,placements
Group discussion tips provide karenge?,placements
Offer letter kab tak milega?,placements
Can I decline an offer after selection?,placements
Dual placement policy kya hai?,placements
Placement registration fees hai kya?,placements
Startups visit karte hain kya campus?,placements
Core companies for civil engineering?,placements
Highest international package kitna hai?,placements
Companies coming for summer internship?,placements
Internship with stipend milti hai kya?,placements
Work from home jobs available hain?,placements
Placement portal pe login nahi ho raha?,placements
Update my resume on placement portal?,placements
List of placed students this year?,placements
Dream company criteria kya hai?,placements
Pool campus drive kahan hoga?,placements
Alumni placement support milta hai?,placements
Salary package in hand kitna hota hai?,placements
Placement training classes are mandatory?,placements
Total companies visited last sem?,placements
Mass recruiters vs core companies?,placements
How to prepare for coding round?,placements
Data structures and algorithms classes?,placements
Language for technical rounds?,placements
What is a good CGPA for placements?,placements
Is there a mock test for aptitude?,placements
Placement registration link?,placements
Student coordinator for placements?,placements
Training and Placement Officer name?,placements
Job location of placed students?,placements
Can I get placed in 2nd year?,placements
Internship converted to PPO process?,placements
What is a PPO in placements?,placements
Companies for electronics and communication?,placements
Highest package for civil branch?,placements
Companies for MSc students?,placements
Are there placements for PhD?,placements
Career counseling center location?,placements
Is there any startup incubator?,placements
Entrepreneurship cell activities?,placements
How to get an internship in Google?,placements
Summer training certificate requirement?,placements
Minor project impact on placement?,placements
Major project and placement?,placements
Does attendance matter for placement?,placements
Is English speaking mandatory for job?,placements
Mock GD sessions dates?,placements
Company specific preparation notes?,placements
Previous year placement papers?,placements
Coding platforms for practice?,placements
Placement statistics for 2025 batch?,placements
Current placement trends in college?,placements
Highest salary in CSE department?,placements
Is there any bond for campus jobs?,placements
Joining date after selection?,placements
What are the hostel charges per year?,hostel
Hostel mein room kaise allot hoga?,hostel
AC rooms available hain kya?,hostel
Hostel fees with mess kitni hai?,hostel
Mess menu kya hai aaj ka?,hostel
Is there a separate hostel for girls?,hostel
Hostel rules and regulations batao?,hostel
Night out permission kaise leni hai?,hostel
In-time kya hai hostel ka?,hostel
Hostel mein wifi speed kaisi hai?,hostel
Are laundry services available in hostel?,hostel
Hostel room change kar sakte hain?,hostel
Drinking water facility kaisi hai?,hostel
Hostel warden ka contact number?,hostel
Emergency mein kisse contact kare hostel mein?,hostel
Hostel mein outsiders allowed hain?,hostel
Can my parents stay in hostel for a day?,hostel
Guest room booking process kya hai?,hostel
Hostel leave application format?,hostel
Medical facility available hai hostel mein?,hostel
Hostel gym timings kya hain?,hostel
Canteen timings for hostel students?,hostel
Hot water available hai winters mein?,hostel
Hostel mein induction allowed hai?,hostel
Electric charges extra dene hote hain?,hostel
Hostel admission form kahan milega?,hostel
Last date for hostel registration?,hostel
Is it mandatory to stay in hostel?,hostel
Hostel security deposit refund process?,hostel
Ragging complaints kahan kare hostel mein?,hostel
Common room mein TV facility hai?,hostel
Hostel library timings?,hostel
Power backup available hai hostel mein?,hostel
Washroom cleaning schedule kya hai?,hostel
Hostel furniture mein kya kya milega?,hostel
Can I bring my own cooler?,hostel
Hostel garden maintenance?,hostel
Lift facility available hai hostel mein?,hostel
Hostel address for courier delivery?,hostel
Mess food quality complaint kahan kare?,hostel
Vegetarian mess hai ya non-veg bhi?,hostel
Hostel fest kab hota hai?,hostel
Sports facility inside hostel?,hostel
Hostel room clean kab hota hai?,hostel
Is there a temple inside hostel area?,hostel
Parking facility for hostelers?,hostel
Two wheeler allowed hai hostel mein?,hostel
Hostel gate closing time on Sunday?,hostel
What is the fine for late entry?,hostel
Hostel discipline committee members?,hostel
What is the room size?,hostel
Triple sharing rooms available hain?,hostel
Single seater rooms cost?,hostel
Double sharing room details?,hostel
Is there a study table in the room?,hostel
Almirah provide karte hain?,hostel
Is mattress included in hostel fees?,hostel
Hostel entry and exit register rules?,hostel
Can I keep a laptop in hostel?,hostel
Ironing facility in hostel?,hostel
How to complain about broken lights?,hostel
Plumber availability in hostel?,hostel
Electrician contact in hostel?,hostel
Hostel night guard name?,hostel
Security in girls hostel?,hostel
CCTV coverage in hostel?,hostel
Is there a pantry in hostel?,hostel
Can we cook in the room?,hostel
Is electric kettle allowed?,hostel
Hostel party rules?,hostel
Birthday celebration rules?,hostel
Can I go home on weekends?,hostel
Gate pass for weekend leave?,hostel
Local guardian requirement?,hostel
Visitor room location?,hostel
Hostel sports ground?,hostel
Table tennis in hostel?,hostel
Badminton court in hostel?,hostel
How is the mess food?,hostel
Can I change my mess plan?,hostel
Is mess fee refundable?,hostel
Special food on festivals?,hostel
Mess committee members?,hostel
Hostel warden office hours?,hostel
Hostel fee receipt for tax?,hostel
How to vacate the hostel?,hostel
Room shifting process?,hostel
Hostel night attendance time?,hostel
Is there a study hall in hostel?,hostel
Where is the central library located?,library
Library timings kya hain?,library
Is library open on holidays?,library
Library card kaise banaye?,library
How many books can I borrow at once?,library
Fine for late return of books?,library
Library portal login kaise kare?,library
Can I renew books online?,library
Library membership fees kitni hai?,library
E-books access kaise kare?,library
How to find a book in the library?,library
Journal section kahan par hai?,library
Are previous year papers available in library?,library
Reference books ghar le ja sakte hain?,library
Digital library access password?,library
Newspapers and magazines section?,library
Silent study zone rules?,library
Library mein bags allowed hain?,library
Photocopy facility available hai library mein?,library
Can I suggest a new book for library?,library
Library staff contact details?,library
What if I lose my library card?,library
Duplicate library card charges?,library
Penalty for damaging library books?,library
Is there a reading room in library?,library
Library mein laptop allowed hai?,library
WiFi access in library area?,library
Competitive exam books available hain?,library
GATE and CAT exam books section?,library
Novels and story books hain kya?,library
Library inventory check kaise kare?,library
Book return date kaise extend kare?,library
Can I donate books to college library?,library
Departmental library vs central library?,library
Library mein AC hall hai kya?,library
Group discussion room available hai?,library
Last date for book submission before exams?,library
Fine waive off ho sakta hai?,library
Library clearance for degree?,library
Books return karne ka process?,library
Online book reservation system?,library
Research papers access link?,library
Library orientation kab hoga?,library
Can we eat inside the library?,library
Scanning facility in library?,library
Project reports collection kahan hai?,library
Daily attendance in library register?,library
Library membership for alumni?,library
Thesis submission in library?,library
Library closing bell timing?,library
Is there a night reading room?,library
Library books for first year?,library
How to use the library OPAC?,library
Online catalog for books?,library
Can I bring my own books to library?,library
Library membership for faculty?,library
Is there a separate section for PhD?,library
Current affairs magazines list?,library
New arrival books list?,library
Library security guard name?,library
Are students allowed to borrow journals?,library
Back volumes of journals?,library
Encyclopedias available hain kya?,library
Dictionaries and thesaurus location?,library
Map and atlas section?,library
Braille books available hain?,library
Library committee members?,library
How to become a library volunteer?,library
Library automation system name?,library
RFID tags for books?,library
Self-check-out kiosk?,library
Is there a mobile app for library?,library
Library newsletter subscription?,library
Rare books collection?,library
Digital repository link?,library
Institutional repository access?,library
Can I get a book from other libraries?,library
Inter-library loan process?,library
Library feedback form?,library
Book exhibition dates?,library
How to check book availability?,library
Book due date notification?,library
Library membership card validity?,library
Clearance from library for TC?,library
Library books returning on weekend?,library
Book drop box location?,library
Library basement section?,library
Library 1st floor section?,library
Science books section?,library
Literature section in library?,library
Library gate entry system?,library
How many times can I renew a book?,library
What scholarships are available for students?,scholarships
Scholarship ke liye apply kaise kare?,scholarships
Eligibility for merit scholarship?,scholarships
Income certificate required for scholarship?,scholarships
Last date for scholarship application?,scholarships
Post-matric scholarship portal link?,scholarships
State government scholarship details?,scholarships
Central sector scholarship eligibility?,scholarships
Documents needed for scholarship renewal?,scholarships
Is there a scholarship for SC/ST students?,scholarships
Minority scholarship ka kya process hai?,scholarships
Scholarship amount kab tak aayega?,scholarships
How to check scholarship status online?,scholarships
College se scholarship form verify kaise karwaye?,scholarships
Single girl child scholarship available hai?,scholarships
Scholarship for physically challenged students?,scholarships
Can I apply for two scholarships?,scholarships
Scholarship interview kab hoga?,scholarships
Private company scholarships list?,scholarships
NGO scholarship support in college?,scholarships
Required percentage for scholarship renewal?,scholarships
Does attendance affect scholarship?,scholarships
Scholarship office kahan par hai?,scholarships
Application rejection ka reason kaise jane?,scholarships
Bonafide certificate for scholarship?,scholarships
Bank account link with Aadhaar for scholarship?,scholarships
NSP portal registration help?,scholarships
Scholarship helpdesk number?,scholarships
Fee concession vs scholarship difference?,scholarships
Is scholarship available for hostelers?,scholarships
What if I change my course after scholarship?,scholarships
Scholarship for sports achievers?,scholarships
EWS scholarship criteria kya hai?,scholarships
Distance education students scholarship?,scholarships
Scholarship payment proof kahan submit kare?,scholarships
How to write application for scholarship?,scholarships
Scholarship committee members list?,scholarships
Are there any scholarships for MBA?,scholarships
PhD research fellowship details?,scholarships
Inspire scholarship application process?,scholarships
Bihar student credit card scheme?,scholarships
UP scholarship portal latest news?,scholarships
National overseas scholarship details?,scholarships
Corporate CSR scholarships for students?,scholarships
Can I get a laptop under scholarship?,scholarships
Scholarship amount credited to college or student?,scholarships
Income limit for scholarship eligibility?,scholarships
Is original marksheet required for scholarship?,scholarships
Scholarship amount kitna milta hai?,scholarships
Renewal form kab bharna hai?,scholarships
How to link mobile with NSP?,scholarships
OBC scholarship eligibility?,scholarships
Scholarship for students from rural areas?,scholarships
Can I get scholarship for higher studies?,scholarships
International scholarships for college students?,scholarships
Does failing a subject stop scholarship?,scholarships
Scholarship for students with single parents?,scholarships
Aadhar seeding status for scholarship?,scholarships
PFMS status check for scholarship?,scholarships
Scholarship payment failure reasons?,scholarships
How to rectify error in scholarship form?,scholarships
Is there any exam for scholarship?,scholarships
Scholarship based on entrance rank?,scholarships
Full tuition fee refund scholarship?,scholarships
Books and stationery allowance?,scholarships
Can I get scholarship for internship?,scholarships
How to get scholarship for MS abroad?,scholarships
Scholarship list of selected students?,scholarships
When will the scholarship list be out?,scholarships
Is parent income proof mandatory?,scholarships
Form 16 for scholarship application?,scholarships
Affidavit for gap year scholarship?,scholarships
Scholarship for arts and culture?,scholarships
Can I get scholarship for being topper?,scholarships
Cash prize for university rank holders?,scholarships
Scholarship for children of defense personnel?,scholarships
Scholarship for railway employees children?,scholarships
Is there a quota for scholarship?,scholarships
How to apply for Medhaavi scholarship?,scholarships
AICTE Pragati scholarship details?,scholarships
Scholarship for girls in technical education?,scholarships
Saksham scholarship for disabled?,scholarships
Swanath scholarship for orphans?,scholarships
How to apply for Prime Minister scholarship?,scholarships
Is there a local MLA scholarship?,scholarships
Religious minority scholarship eligibility?,scholarships
Scholarship for excellence in research?,scholarships
Publication based scholarship?,scholarships
Can I get scholarship for summer projects?,scholarships
Scholarship verification last date?,scholarships
Nodal officer for scholarship in college?,scholarships
How to apply for bonafide certificate?,certificates
Degree certificate kab milega?,certificates
Provisional degree kaise milti hai?,certificates
Migration certificate apply process?,certificates
Character certificate kahan se milega?,certificates
Fees for duplicate marksheet?,certificates
Transfer certificate application format?,certificates
Gap certificate kaise banaye?,certificates
Bonafide certificate for bus pass?,certificates
Documents required for degree collection?,certificates
Can I get my certificates via post?,certificates
How long it takes to get migration?,certificates
Urgent certificate service available hai?,certificates
Original certificates college mein jama hain?,certificates
Course completion certificate kab milega?,certificates
Duplicate ID card application?,certificates
Consolidated marksheet request?,certificates
Certificate verification for jobs?,certificates
Attestation of documents by principal?,certificates
Transcript for MS application process?,certificates
Backlog certificate kaise milega?,certificates
Medium of instruction certificate?,certificates
Fee paid certificate for income tax?,certificates
Railway concession form kahan se le?,certificates
Convocation degree collection rules?,certificates
Name correction in marksheet?,certificates
Father name change in certificate?,certificates
Date of birth correction process?,certificates
Lost my original degree what to do?,certificates
FIR copy required for duplicate certificate?,certificates
Gazette notification for name change?,certificates
Provisional certificate validity period?,certificates
Degree certificate format download?,certificates
Authorized person can collect my degree?,certificates
Online portal for certificate request?,certificates
Track my certificate application status?,certificates
Admin office timings for certificates?,certificates
Application for name spelling change?,certificates
Certificate for internship completion?,certificates
NSS and NCC certificates distribution?,certificates
Merit certificates for toppers?,certificates
Participation certificate for college fest?,certificates
Official transcript charges for WES?,certificates
Semester wise marksheet download?,certificates
Provisional migration certificate?,certificates
Duplicate TC charges kitne hain?,certificates
Caste certificate verification?,certificates
Gap year affidavit format?,certificates
Bonafide for passport application?,certificates
Degree verification helpline?,certificates
How to apply for re-degree?,certificates
Is provisional certificate enough for job?,certificates
When is the convocation ceremony?,certificates
Degree certificate in absentia?,certificates
Postal address for receiving degree?,certificates
How to correct address in records?,certificates
Change of branch certificate?,certificates
Certificate for sports achievements?,certificates
Extra-curricular activity certificate?,certificates
Who issues the character certificate?,certificates
Is TC required for PG admission?,certificates
How to get back original 10th marksheet?,certificates
Security deposit refund certificate?,certificates
Course equivalence certificate?,certificates
Official stamp on certificates?,certificates
Notarized copy of degree?,certificates
How to get transcripts for WES evaluation?,certificates
Sealed envelope for transcripts?,certificates
Attestation from registrar?,certificates
Application for college leaving certificate?,certificates
Conduct certificate from HOD?,certificates
Is migration certificate required for job?,certificates
How to get duplicate library clearance?,certificates
No dues certificate from accounts?,certificates
No dues certificate from hostel?,certificates
No dues from sports department?,certificates
Final clearance certificate for degree?,certificates
Bonafide for opening bank account?,certificates
Bonafide for education loan?,certificates
Income certificate from college?,certificates
Certificate for attending workshop?,certificates
Industrial visit participation certificate?,certificates
Volunteer certificate for events?,certificates
Placement selection certificate?,certificates
Gate pass for original documents?,certificates
How to get old records from college?,certificates
Degree certificate hard copy vs soft copy?,certificates
QR code on degree certificate?,certificates
Digital locker for college certificates?,certificates
How to upload degree to DigiLocker?,certificates